city,date,fare,ride_id
Lake Jonathanshire,1/14/2019,13.83,5739410935873
South Michelleport,3/4/2019,30.24,2343912425577
Port Samanthamouth,2/24/2019,33.44,2005065760003
Rodneyfort,2/10/2019,23.44,5149245426178
South Jack,3/6/2019,34.58,3908451377344
South Latoya,3/11/2019,9.52,1994999424437
New Paulville,2/27/2019,43.25,793208410091
Simpsonburgh,4/26/2019,35.98,111953927754
South Karenland,1/8/2019,35.09,7995623208694
North Jasmine,3/9/2019,42.81,5327642267789
New Kimberlyborough,2/7/2019,9.34,7992781920789
West Angela,1/12/2019,26.86,4820052223501
Rodneyfort,3/2/2019,44.26,2494064867705
West Angela,1/10/2019,12.74,2108723916092
Roberthaven,5/4/2019,25.66,1026197778354
North Jason,3/28/2019,9.19,7007022521141
Williamsview,1/3/2019,18.93,1979492913169
Leahton,2/26/2019,8.85,6966668662612
West Anthony,3/6/2019,10.02,9396763280782
New Kimberlyborough,4/25/2019,29.67,4823568522144
Roberthaven,2/24/2019,7.8,2180566685151
New Paulton,5/1/2019,8.28,8527101897862
West Patrickchester,3/19/2019,40.86,898889456779
Deanville,4/25/2019,41.52,6055928921559
West Josephberg,2/19/2019,36.39,3322126516683
West Samuelburgh,5/3/2019,41.12,7330842806458
West Heidi,3/14/2019,24.4,4908573010166
Loganberg,4/1/2019,8.23,678728883160
Huntermouth,2/10/2019,25.79,1880379662035
South Latoya,1/11/2019,27.41,8662301917375
New Paulville,3/18/2019,25.05,5031803855561
Grahamburgh,1/15/2019,40.69,307021255892
Port Frank,2/2/2019,41.47,6746609056348
East Kaylahaven,2/28/2019,25.96,3662521920044
Rodneyfort,2/3/2019,44.86,2325699544245
South Karenland,2/12/2019,36.01,4015929454731
West Robert,2/15/2019,12.28,1442502460354
North Markport,2/18/2019,38.09,925012921771
Williamsview,3/12/2019,8.35,1940440908308
Richardfort,2/24/2019,13.93,5628545007794
New Kimberlyborough,3/14/2019,27.9,6750798028086
Reynoldsfurt,3/25/2019,34.06,6604420154219
South Karenland,5/8/2019,41.33,5688921852912
Rodneyfort,4/25/2019,21.7,8534600667414
Justinberg,4/23/2019,14.65,9878231118211
West Josephberg,3/5/2019,12.91,102684585771
South Karenland,3/3/2019,37.3,4104001937078
Leahton,5/5/2019,17.05,5846586406028
Martinezhaven,3/19/2019,5.3,264337981979
North Jason,3/3/2019,28.02,2670554129601
Jerryton,3/3/2019,28.08,6003411645536
Lake Scottton,2/18/2019,25.02,3909343123179
South Evanton,2/14/2019,42.5,9953662403430
Rogerston,5/8/2019,32.69,1643407853276
West Samuelburgh,5/2/2019,38.77,2931685225267
West Ericstad,4/24/2019,7.31,4292477885655
New Paulville,3/10/2019,4.43,1213919861269
Hurleymouth,5/4/2019,21.44,4039657784670
West Samuelburgh,3/3/2019,25.17,1781749929829
Joneschester,3/1/2019,34.71,3343258153690
New Paulville,4/3/2019,32.7,9562561279062
Simpsonburgh,1/19/2019,15.83,233191052705
Port Angela,4/17/2019,16.34,7120534266772
West Ericstad,4/4/2019,28.52,6432849151942
New Kimberlyborough,3/16/2019,17.19,2770472867019
Joneschester,1/30/2019,36.78,1664032953575
North Markport,4/26/2019,44.37,1628416621603
Hurleymouth,3/22/2019,32.85,8449290696111
Barajasview,1/15/2019,19.52,8268107272481
Grahamburgh,4/6/2019,23.87,1468249595739
South Michelleport,3/2/2019,33.12,813844006721
Loganberg,1/7/2019,16.26,9045377966666
West Christopherberg,3/18/2019,12.64,1061090771392
Rogerston,2/23/2019,14.04,7647140329924
Huntermouth,2/24/2019,39.12,928039410570
New Jacobville,2/9/2019,7.11,3855046930326
Lake Jonathanshire,4/7/2019,31.25,4441251834598
Port David,3/17/2019,33.11,1025683688009
Martinezhaven,2/20/2019,13.34,2760692818274
Port Frank,4/19/2019,26.47,6722706570956
Valentineton,3/2/2019,39.77,6770387655387
Hurleymouth,3/3/2019,36.31,167035392736
Carriemouth,2/25/2019,32.37,6918425016992
Port Samanthamouth,4/16/2019,9.2,8712247654732
Williamsstad,1/23/2019,19.62,125986195523
Royland,1/7/2019,24.5,3620854074841
New Jacobville,1/5/2019,34.11,2828521502876
Roberthaven,3/6/2019,12.38,3372963379040
South Evanton,1/7/2019,43.61,9122502715686
New Paulton,5/3/2019,21.67,9086555898522
Karenberg,3/11/2019,36.15,7796761531541
Rodneyfort,1/30/2019,16.99,5778730523049
East Kaylahaven,4/4/2019,23.18,57422927996
Huntermouth,2/19/2019,7.05,1616522979657
Barajasview,1/23/2019,37.68,4108452999906
Williamsstad,3/29/2019,35.58,4747780858464
North Jason,3/8/2019,25.21,3180078116241
Christopherfurt,4/17/2019,23.3,7819057680096
Liumouth,1/11/2019,36.78,1464517778842
Johnton,1/17/2019,32.19,8526302845313
West Angela,3/8/2019,41.06,6204872968343
Jerryton,1/4/2019,37.2,5637872466976
Erikaland,2/18/2019,20.62,3294151034077
North Jason,2/7/2019,20,473650019126
Lake Scottton,5/5/2019,18.77,405381774029
Simpsonburgh,3/22/2019,22.05,3495175591045
Raymondhaven,3/12/2019,16.98,6447701812060
West Robert,4/5/2019,44.58,4246011046064
North Jason,3/18/2019,6.41,2865826852282
Port Samanthamouth,1/23/2019,35.51,3116859378683
West Robert,1/21/2019,27.11,1369907297609
Jerryton,1/5/2019,37.91,1587079787234
Port Samanthamouth,2/3/2019,18.03,9292190648631
Liumouth,1/15/2019,14.55,4379351603939
West Heidi,4/3/2019,24.76,1820229390169
Loganberg,1/21/2019,22.86,1954301151475
Grahamburgh,2/17/2019,30.25,4047930050046
Raymondhaven,5/6/2019,25.76,8721024233275
Karenside,1/25/2019,14.52,2652359361585
Port Frank,4/6/2019,18.08,5474889861628
Leahton,4/2/2019,22.76,5808733389189
Port Samanthamouth,4/22/2019,29.67,3154062122440
Jerryton,4/13/2019,32.08,8499177647057
West Patrickchester,3/7/2019,23.66,3066093529306
West Samuelburgh,3/3/2019,27.48,100530645822
North Markport,3/31/2019,29.41,3093467204446
West Angela,3/10/2019,27.1,1365318639571
Grahamburgh,3/12/2019,22.97,4898014437105
South Michelleport,1/8/2019,23.77,4916160406018
East Kaylahaven,4/2/2019,9.67,2088463469235
South Karenland,4/22/2019,22.86,6728151431002
Lake Danielberg,2/24/2019,9.63,9149328902854
Justinberg,4/26/2019,8.83,1823094898600
Karenberg,4/29/2019,28.41,9052850267417
South Phillip,2/9/2019,7.89,3203192947260
North Madeline,4/5/2019,29.69,240702560536
New Kimberlyborough,5/1/2019,22.59,9250925234627
South Jack,4/24/2019,38.04,2197989679742
Erikaland,3/11/2019,27.39,132013691958
New Paulville,3/27/2019,7.29,7046764870599
Hurleymouth,3/26/2019,41.15,4707260150471
Liumouth,4/12/2019,43.34,7857233769715
Deanville,5/1/2019,8.28,592955132597
Karenside,4/2/2019,41.93,4093612247143
West Angela,1/30/2019,19.13,2078144834391
Liumouth,2/1/2019,24.81,5470070391967
Jerryton,3/27/2019,13.29,8959844730593
South Phillip,5/4/2019,28.3,8696571163934
Port Johnbury,4/27/2019,25.67,2746325666283
Raymondhaven,2/8/2019,5.7,3930029851451
Port David,3/7/2019,42.04,9905958460368
Robertport,3/6/2019,6.73,9679756863064
Loganberg,3/16/2019,23.99,9492898520301
Karenside,4/19/2019,36.01,1322743709668
Lake Jonathanshire,3/9/2019,19.89,2389495660448
Pattyland,1/30/2019,8.57,4688888414629
West Robert,4/13/2019,32.94,9603611942427
Justinberg,4/12/2019,17.03,8374760616644
West Josephberg,2/9/2019,4.42,8303790674379
North Markport,1/21/2019,27.68,4556759119631
Williamsview,1/9/2019,44.46,2195528331786
Raymondhaven,2/1/2019,13.86,8721051413299
South Latoya,2/12/2019,30.22,7388420725356
Deanville,3/29/2019,5.32,2612669233491
Amandaburgh,3/5/2019,26.28,906850928986
Jerryton,1/27/2019,29.08,6160527574249
Deanville,3/24/2019,30.55,5276110988605
West Anthony,1/23/2019,23.24,596601397101
West Anthony,2/24/2019,39.2,8491405671407
West Heidi,3/30/2019,22.41,1711351640331
Royland,1/1/2019,7.57,5815378003370
South Latoya,3/2/2019,10.35,338288902823
Johnton,1/8/2019,43.75,195318504552
West Angela,1/30/2019,32.31,7288678136396
Rodneyfort,1/8/2019,29.4,1184254566839
Royland,1/2/2019,10.19,668201417968
New Paulville,1/31/2019,20.8,1092839241319
Huntermouth,4/9/2019,35.11,3005607850321
New Paulville,1/30/2019,7.02,8504962667575
Justinberg,5/3/2019,36.06,929541725138
Port Angela,3/31/2019,30.77,662264490197
Port Angela,4/9/2019,11.9,7009806605900
Christopherfurt,1/5/2019,33.51,1901033209479
South Michelleport,4/22/2019,43.62,4663606096929
Williamsstad,2/13/2019,33.72,3796713212942
Lake Jonathanshire,4/7/2019,24.28,7796805191168
Robertport,3/20/2019,20.21,9630923585394
Port Angela,2/8/2019,30.38,5165542108944
Barajasview,2/8/2019,24.49,2612169071005
South Evanton,1/24/2019,17.83,2996657789222
Lake Danielberg,2/13/2019,43.96,100023890906
Royland,4/19/2019,25.4,9847755706013
Rodneyfort,2/8/2019,30.02,2497021545678
East Kaylahaven,1/17/2019,40.82,6342488049671
West Christopherberg,1/17/2019,9.04,5154845220316
New Jacobville,1/15/2019,27.24,3812959891670
Lake Jonathanshire,1/2/2019,13.89,424254840012
Port Samanthamouth,4/25/2019,25.5,1169125626263
West Heidi,3/26/2019,22.33,826311164930
Karenside,4/14/2019,13.13,3659608833762
Valentineton,2/1/2019,9.68,2132098607750
Raymondhaven,2/23/2019,4.24,294151163985
Carriemouth,3/11/2019,16.78,1519393006937
West Josephberg,1/16/2019,7.04,2507076269228
Port Samanthamouth,3/1/2019,43.25,1389178507955
Karenberg,3/30/2019,24.64,4539326805168
New Paulton,3/10/2019,28,1067162551534
Joneschester,2/7/2019,6.34,2605462716773
North Jasmine,2/8/2019,4.86,1276628602813
Valentineton,2/27/2019,25.4,6152363850717
